,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
534,1338.03,21.01182965,1338.02,42.03714532,2.000641829875106,2:1,0.00032091493755292966,65495.775361137035
559,1426.02,74.92841333,1426.03,150.0216791,2.0022001325354903,2:1,0.00110006626774517,68187.56446714011
996,3791.02,220.1295992,3791.01,440.7863124,2.002394562121203,2:1,0.0011972810606015738,184078.0443726918
827,2414.01,22.59681542,2414.02,45.34836333,2.0068475352444155,2:1,0.0034237676222077518,6622.581952679073
571,1475.03,4.72943361,1475.02,9.51219279,2.0112752550088127,2:1,0.005637627504406328,843.6343818889542
923,2926.04,37.63354937,2926.05,75.73163337,2.012343630557747,2:1,0.006171815278873449,6135.280298264484
218,520.03,25.75279012,520.04,51.16575644,1.9868043890228388,2:1,-0.006597805488580577,-3877.4829394832295
973,3395.02,5.03954267,3395.01,10.00501581,1.9853023310148892,2:1,-0.007348834492555412,-680.7212640409427
602,1590.02,2.35575084,1590.03,4.74670612,2.0149440422145832,2:1,0.007472021107291615,317.63200691228633
217,520.01,12.75933213,520.03,25.75279012,2.018349382053432,2:1,0.009174691026716086,1403.4690675146226
588,1563.02,8.29085153,1563.04,16.73878229,2.0189460912949198,2:1,0.009473045647459877,883.4952829815812
1038,4541.01,8.52910804,4541.02,17.23602387,2.020847172900861,2:1,0.010423586450430511,826.7799164887305
835,2433.04,27.90426394,2433.03,56.41581418,2.0217632079923624,2:1,0.01088160399618121,2592.256353006347
391,877.01,5.95489264,877.02,12.03986967,2.021844959743892,2:1,0.010922479871946056,551.1509204481994
89,255.02,13.60318505,255.01,27.52198739,2.0232017199530783,2:1,0.011600859976539146,1186.2046195565995
905,2840.01,3.67935053,2840.02,7.44647047,2.0238545931637564,2:1,0.011927296581878188,312.16086641602595
151,377.01,19.24631307,377.02,38.95896893,2.0242302402701173,2:1,0.012115120135058666,1607.8655636794206
38,148.01,4.77800429,148.02,9.67394317,2.0246828137527686,2:1,0.012341406876384298,391.93032313485344
513,1270.01,5.72933165,1270.02,11.60910484,2.0262581308240377,2:1,0.013129065412018859,442.114669844381
66,222.01,6.31250923,222.02,12.79456945,2.026859523498867,2:1,0.013429761749433444,476.3513191341521
41,152.03,13.48455808,152.02,27.40222239,2.03211868178627,2:1,0.0160593408931351,853.1552624838312
682,1909.01,12.75800293,1909.03,25.09843925,1.967270221500098,2:1,-0.016364889249951053,-766.8380416957318
1034,4504.01,4.13032217,4504.02,8.1193947,1.9658017863531452,2:1,-0.017099106823427412,-237.42160288967997
664,1860.02,12.20950873,1860.04,24.84327724,2.0347483088289664,2:1,0.0173741544144832,714.9492472361846
623,1681.03,3.53108051,1681.01,6.93904714,1.965134218930624,2:1,-0.017432890534687995,-199.02170343445547
326,720.04,2.79589907,720.01,5.69059352,2.035335817755396,2:1,0.01766790887769809,161.04321001969686
95,271.03,14.43599649,271.02,29.39325463,2.0361084633375386,2:1,0.018054231668769294,814.02673814265
653,1835.02,2.24828597,1835.01,4.58034978,2.0372629821641417,2:1,0.01863149108207085,122.91957095177655
439,952.04,2.89600175,952.01,5.90127763,2.037732756894916,2:1,0.018866378447458088,156.3966726956835
509,1241.02,10.50071206,1241.01,21.40536165,2.0384676322607405,2:1,0.01923381613037023,556.4512394449091
488,1161.03,2.97138076,1161.01,6.0573033,2.038548334680608,2:1,0.01927416734030407,157.13527835087373
77,244.02,6.23853482,244.01,12.72037062,2.038999698970984,2:1,0.019499849485492105,326.1658668048685
302,692.01,2.46233666,692.02,4.82298195,1.9587012727983344,2:1,-0.020649363600832804,-116.78282302621388
668,1873.02,34.91831041,1873.01,71.31208617,2.042254775007025,2:1,0.021127387503512507,1687.6692908232053
230,547.03,12.38603302,547.01,25.30293703,2.042860453314051,2:1,0.02143022665702543,590.3562625574234
376,841.01,15.3352934,841.02,31.33038711,2.043024955101283,2:1,0.02151247755064145,728.191047178241
675,1895.01,8.45747329,1895.02,17.28125508,2.043311812812122,2:1,0.021655906406061076,398.9963466771196
299,679.02,16.25817723,679.01,31.80493616,1.9562424317353808,2:1,-0.021878784132309592,-726.8442333829676
425,935.01,20.86019269,935.02,42.63416415,2.043804905524101,2:1,0.021902452762050606,973.2737381785453
508,1240.02,4.80709495,1240.03,9.82541584,2.043940455139128,2:1,0.021970227569563905,223.6075117767892
665,1867.01,2.54956563,1867.03,5.21229969,2.044387337461872,2:1,0.02219366873093609,117.42762661710132
785,2194.01,34.76298361,2194.02,67.96842021,1.955195243668557,2:1,-0.022402378165721548,-1516.9911807399142
232,551.02,5.68797582,551.01,11.63704902,2.045903391340366,2:1,0.02295169567018296,253.51174891879427
838,2442.02,12.31028885,2442.01,25.19340477,2.046532382544379,2:1,0.02326619127218943,541.41660908879
185,460.01,17.5875312,460.02,36.04886497,2.049683071493286,2:1,0.02484153574664294,725.5764164031526
465,1078.01,3.35372858,1078.02,6.87745515,2.050689251066346,2:1,0.02534462553317307,135.67876828557277
395,880.01,26.44432103,880.02,51.53924299,1.9489720659316925,2:1,-0.02551396703415376,-1010.0201768115484
100,279.03,7.51430567,279.02,15.41313164,2.051171767144788,2:1,0.025585883572394108,301.2038180426569
384,864.03,9.76734394,864.02,20.05038278,2.0527978643086464,2:1,0.026398932154323207,379.7574588015383
662,1860.03,3.07644041,1860.01,6.3194466,2.054142371637876,2:1,0.02707118581893808,116.71905771447828
887,2715.03,5.72089162,2715.01,11.12826312,1.945197332719266,2:1,-0.02740133364036701,-203.06061132013846
36,137.01,7.64156004,137.02,14.85892272,1.9444881205173388,2:1,-0.027755939741330615,-267.67104372031014
999,3925.02,2.59026336,3925.03,5.32440344,2.055545209117269,2:1,0.027772604558634395,95.85711395484986
426,935.02,42.63416415,935.03,87.64796817,2.055815328327482,2:1,0.02790766416374102,1570.3207487331824
968,3348.02,17.71915853,3348.01,36.43378679,2.0561804178406438,2:1,0.02809020892032188,648.5139874421146
405,898.01,9.77045018,898.03,20.09010164,2.0562104375829287,2:1,0.028105218791464326,357.40873944204003
109,285.01,13.74883666,285.02,26.72313369,1.943665078787837,2:1,-0.02816746060608155,-474.361783330768
360,806.03,29.31475445,806.02,60.32524674,2.057845882451183,2:1,0.02892294122559158,1042.8615518297124
869,2672.02,42.9926169,2672.01,88.51077672,2.0587436425624976,2:1,0.029371821281248822,1506.7294580146772
818,2333.01,3.93082066,2333.02,7.63006853,1.941087927934112,2:1,-0.029456036032944,-129.51621395130078
790,2209.01,18.30286053,2209.02,35.50343668,1.9397752947855744,2:1,-0.03011235260721279,-589.5161554314406
906,2842.01,1.56541081,2842.03,3.03621178,1.9395622929165797,2:1,-0.030218853541710167,-50.23704449623161
847,2498.01,6.73804605,2498.02,13.06023239,1.938281853980502,2:1,-0.030859073009748994,-211.61089942452278
248,574.02,10.39985273,574.01,20.1348782,1.9360733966854933,2:1,-0.03196330165725336,-314.96868527395753
894,2732.01,7.03145274,2732.02,13.6116442,1.9358224684590573,2:1,-0.03208876577047137,-212.09360773429415
718,2022.01,5.92971604,2022.02,12.24754047,2.0654514292728257,2:1,0.03272571463641283,187.12411029173623
598,1589.04,4.22453347,1589.01,8.72588834,2.0655270935751395,2:1,0.032763546787569764,133.16458679788803
368,829.01,18.64929387,829.03,38.55762762,2.0675113968805725,2:1,0.03375569844028625,571.1276821631812
1074,7685.02,33.5026842,7685.01,64.74041555,1.9323948840493204,2:1,-0.03380255797533982,-957.6259819927009
663,1860.01,6.3194466,1860.02,12.20950873,1.932053469681981,2:1,-0.03397326515900945,-179.69289488152322
674,1891.02,8.25983738,1891.01,15.95542912,1.9316880449285552,2:1,-0.034155977535722415,-233.56715677823647
523,1306.01,1.79631631,1306.02,3.46807214,1.930657824957343,2:1,-0.034671087521328525,-50.01389324558329
123,317.02,11.50579417,317.01,22.20808905,1.9301656819052937,2:1,-0.03491715904735315,-318.0111105242317
21,111.01,11.42754491,111.02,23.66832881,2.071164803674353,2:1,0.035582401837176425,332.5847552155877
173,435.06,9.91939956,435.01,20.5498169,2.0716795180695398,2:1,0.03583975903476988,286.6902213274318
558,1426.01,38.86857676,1426.02,74.92841333,1.927737508699045,2:1,-0.03613124565047754,-1036.8921965054046
266,605.01,2.62811611,605.02,5.06543465,1.9274013924750075,2:1,-0.03629930376249624,-69.7731653910331
179,442.03,7.0257493,442.01,13.54053864,1.927273243296626,2:1,-0.036363378351687015,-186.18372733472674
931,3019.02,2.01211066,3019.01,4.17935523,2.0771000885209765,2:1,0.03855004426048825,54.20687978669349
387,869.03,17.46091637,869.02,36.27556467,2.077529260281315,2:1,0.03876463014065745,467.8951474369048
807,2263.03,15.59458181,2263.01,29.96864759,1.921734609823436,2:1,-0.03913269508828199,-382.9106009999028
883,2711.01,9.02440904,2711.02,17.34087448,1.9215523590672705,2:1,-0.039223820466364745,-221.05029894869836
352,775.02,7.87742204,775.01,16.38490222,2.079982783301528,2:1,0.03999139165076393,204.85536441299374
680,1908.01,12.55111718,1908.02,24.08862506,1.9192415077109493,2:1,-0.04037924614452537,-298.2797768658435
472,1102.04,4.24433553,1102.02,8.14510034,1.919051941682848,2:1,-0.04047402915857601,-100.62131827903453
374,837.02,4.14453332,837.01,7.95354221,1.9190440987937336,2:1,-0.040477950603133195,-98.24536681687087
90,260.01,10.4956701,260.03,21.86964346,2.083682437770219,2:1,0.04184121888510961,261.3408983143048
618,1628.01,19.74737352,1628.03,37.83931904,1.9161697124772876,2:1,-0.04191514376135619,-451.38004602152995
337,733.01,5.92498617,733.02,11.34934777,1.9155062044642712,2:1,-0.04224689776786439,-134.32167057995224
494,1194.03,4.17629424,1194.01,8.70793158,2.085085743383829,2:1,0.04254287169191451,102.34301580604146
355,784.02,10.06525908,784.01,19.27160315,1.9146653848476995,2:1,-0.042667307576150226,-225.83570706453787
763,2148.03,3.61456972,2148.02,7.54240326,2.0866669740153747,2:1,0.043333487007687355,87.02742129501347
367,829.02,9.75192499,829.01,18.64929387,1.91237052060221,2:1,-0.043814739698895044,-212.8198637965469
408,904.01,2.21112226,904.04,4.61748122,2.0882975598101936,2:1,0.0441487799050968,52.294550720607006
536,1353.02,34.54399807,1353.03,66.01646112,1.9110833953332256,2:1,-0.04445830233338721,-742.4536886828345
292,665.03,3.07156191,665.01,5.86806838,1.9104509535996952,2:1,-0.044774523200152405,-65.52909959273477
430,939.03,1.62047082,939.01,3.38802126,2.0907635103235,2:1,0.045381755161749915,37.3280104297905
814,2298.01,16.66710278,2298.02,31.80591683,1.9083050755627489,2:1,-0.04584746221862557,-346.8667107279803
115,301.01,6.00256688,301.02,11.44866713,1.907295222006756,2:1,-0.046352388996621974,-123.49597699089841
537,1353.03,66.01646112,1353.01,125.8654422,1.9065766335340333,2:1,-0.04671168323298336,-1347.2586887120112
202,505.03,3.25056897,505.02,6.19544791,1.905957992947924,2:1,-0.047021003526038,-65.87957981978475
291,665.02,1.61188863,665.03,3.07156191,1.9055670800283515,2:1,-0.047216459985824244,-32.526389218105
124,321.01,2.42630019,321.02,4.62337581,1.905525057886592,2:1,-0.04723747105670395,-48.93758817496909
828,2420.02,5.46754034,2420.01,10.41728983,1.905297296809702,2:1,-0.04735135159514903,-109.99992058375808
501,1215.01,17.32418683,1215.02,33.00640312,1.9052209170847416,2:1,-0.04738954145762919,-348.24564771861003
678,1905.01,7.62636346,1905.02,15.99569913,2.0974215579806628,2:1,0.04871077899033138,164.1905494179737
42,152.02,27.40222239,152.01,52.0908098,1.9009702592228328,2:1,-0.0495148703885836,-526.0117757675715
113,295.01,5.3174374,295.02,10.10572664,1.9004881261037507,2:1,-0.049755936948124635,-101.55297297020249
1049,4838.02,6.33332367,4838.01,13.29764143,2.099630797805096,2:1,0.04981539890254805,133.469185462247
